"id_object","object_type","object_subtype","inventory_number","provenience_detail","provenance_detail","id_dating","pharaonic_ruler","id_provenience","place","archaeological_site","archaeological_context","id_location","place","country","lat","lon","current_or_former_provenances","tomb_owner_title_ids","tomb_owner_titles_unicode"
661,"architectural unit","tomb","352/Bub, Bub. I.1","Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie (1993); W.M.F. Petrie, 1880s",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'",,"10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
877,"small finds","jewellery & amulets","JE 99122","Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie (2003)",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'","Egyptian Museum","10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
879,"small finds","tools & implements",,"Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'",,"10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
443,"stela","unspecified",,"excavation of French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie, Tomb of Aperia",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'",,"10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
75,"(tomb) equipment","canopics",,"Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'",,"10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
880,"(tomb) equipment","shabti",,"Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'",,"10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
505,"architectural unit","tomb","363/Bub, Bub. I.19","Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie (1996)",,8,"Amenhotep III–Amenhotep IV/ Akhenaten",54,"Saqqara","Falaise du Bubasteion","Tomb of Djehutymose",150,"Tomb of Djehutymose (363/Bub)","Egypt","N 29°52""22.90"" ","E 31°13""26.29'",,"212","jdn.w m pr ꜥnḫ (n) nṯr nfr"
193,"stela","round-topped stela","IM 5305","excavated Feb 11 février 1852, in the room of Amhotep IV","AF 125, S.1168, E.3012; Allocated through partage after excavation.",8,"Amenhotep III–Amenhotep IV/ Akhenaten",65,"Saqqara","Serapeum",,166,"Serapeum","Egypt","N 29°52'28.99"" ","E 31°12'44.70""","Musée du Louvre",,
706,"architectural element","lintel","ÄM 21597",,"formerly Nicola Brimo collection (Berlin, 1915)",8,"Amenhotep III–Amenhotep IV/ Akhenaten",121,"Tell el-Amarna",,,30,"Tell el-Amarna","Egypt","N 27°39'42""","E 30°54'20""","Ägyptisches Museum und Papyrussammlung; Collection of Nicola Brimo",,
708,"architectural unit","house",,,,8,"Amenhotep III–Amenhotep IV/ Akhenaten",121,"Tell el-Amarna",,,30,"Tell el-Amarna","Egypt","N 27°39'42""","E 30°54'20""",,,
